Id,SalePrice
1461,114077.0
1462,157590.0
1463,171764.0
1464,198452.0
1465,193771.0
1466,183719.0
1467,197602.0
1468,174050.0
1469,211602.0
1470,112687.0
1471,204926.0
1472,105708.0
1473,84213.0
1474,152180.0
1475,120845.0
1476,319274.0
1477,246302.0
1478,278598.0
1479,270868.0
1480,378047.0
1481,290348.0
1482,215976.0
1483,179737.0
1484,178958.0
1485,201984.0
1486,210926.0
1487,272846.0
1488,257475.0
1489,187371.0
1490,218594.0
1491,210769.0
1492,93763.0
1493,210174.0
1494,280692.0
1495,274571.0
1496,223650.0
1497,171102.0
1498,154237.0
1499,164799.0
1500,147258.0
1501,166682.0
1502,147476.0
1503,276807.0
1504,249045.0
1505,225903.0
1506,204397.0
1507,249946.0
1508,208065.0
1509,158557.0
1510,143250.0
1511,147546.0
1512,170843.0
1513,172033.0
1514,148366.0
1515,216675.0
1516,164821.0
1517,172280.0
1518,130016.0
1519,232428.0
1520,125211.0
1521,121000.0
1522,185613.0
1523,83573.0
1524,113438.0
1525,101670.0
1526,94489.0
1527,95065.0
1528,153821.0
1529,131504.0
1530,216138.0
1531,133622.0
1532,100285.0
1533,153511.0
1534,134040.0
1535,155045.0
1536,102600.0
1537,34803.0
1538,188542.0
1539,229727.0
1540,109423.0
1541,159313.0
1542,143179.0
1543,202821.0
1544,74456.0
1545,133421.0
1546,143292.0
1547,129469.0
1548,139587.0
1549,122228.0
1550,127648.0
1551,135402.0
1552,130912.0
1553,141182.0
1554,130101.0
1555,169135.0
1556,81131.0
1557,82355.0
1558,95761.0
1559,59674.0
1560,134259.0
1561,117230.0
1562,118494.0
1563,115059.0
1564,155016.0
1565,138491.0
1566,247402.0
1567,63265.0
1568,215956.0
1569,99827.0
1570,147356.0
1571,112481.0
1572,139584.0
1573,251222.0
1574,119578.0
1575,224491.0
1576,248714.0
1577,200198.0
1578,149983.0
1579,135100.0
1580,213559.0
1581,139281.0
1582,123134.0
1583,303179.0
1584,231938.0
1585,153357.0
1586,51424.0
1587,101330.0
1588,143317.0
1589,93057.0
1590,137638.0
1591,59261.0
1592,125919.0
1593,132785.0
1594,119105.0
1595,107373.0
1596,213102.0
1597,168439.0
1598,206962.0
1599,203355.0
1600,190828.0
1601,23342.0
1602,115422.0
1603,58674.0
1604,245865.0
1605,268357.0
1606,178027.0
1607,181021.0
1608,224515.0
1609,200541.0
1610,154308.0
1611,164662.0
1612,168870.0
1613,171972.0
1614,122584.0
1615,56158.0
1616,37780.0
1617,62696.0
1618,110279.0
1619,149148.0
1620,181236.0
1621,135090.0
1622,124559.0
1623,266787.0
1624,211745.0
1625,121460.0
1626,183969.0
1627,193648.0
1628,275805.0
1629,197202.0
1630,324289.0
1631,218809.0
1632,238429.0
1633,191044.0
1634,194533.0
1635,187345.0
1636,162427.0
1637,179670.0
1638,215597.0
1639,202351.0
1640,263320.0
1641,201280.0
1642,229500.0
1643,233189.0
1644,234892.0
1645,201754.0
1646,174621.0
1647,175531.0
1648,137996.0
1649,129802.0
1650,108056.0
1651,106480.0
1652,109662.0
1653,112284.0
1654,153621.0
1655,153891.0
1656,144297.0
1657,158384.0
1658,146988.0
1659,136255.0
1660,142940.0
1661,360097.0
1662,331625.0
1663,317174.0
1664,413648.0
1665,282886.0
1666,291605.0
1667,306690.0
1668,305359.0
1669,291533.0
